field	displayName	ENSEMBL	NCBI	UNIPROT	uniprot_use	url	selected	uniprot_match	label
sg_gene_id	sg_gene_id	sg_gene_id	sg_gene_id	sg_gene_id			ENSEMBL		
sg_tran_id	sg_tran_id	sg_tran_id	sg_tran_id	sg_tran_id			ENSEMBL		
ensembl_gene_id	Gene stable ID	ensembl_gene_id		Ensembl	0	exturl|/Gene/Summary?db=core;g=%s	ENSEMBL		
ensembl_gene_id_version	Gene stable ID version	ensembl_gene_id_version				exturl|/Gene/Summary?db=core;g=%s	ENSEMBL		
ensembl_transcript_id	Transcript stable ID	ensembl_transcript_id		Ensembl_TRS	0	exturl|/Transcript/Summary?db=core;t=%s	ENSEMBL	3	
ensembl_transcript_id_version	Transcript stable ID version	ensembl_transcript_id_version				exturl|/Transcript/Summary?db=core;t=%s	ENSEMBL		
ensembl_peptide_id	Protein stable ID	ensembl_peptide_id		Ensembl_PRO	0	exturl|/Transcript/ProteinSummary?db=core;p=%s	ENSEMBL	2	
ensembl_peptide_id_version	Protein stable ID version	ensembl_peptide_id_version				exturl|/Transcript/ProteinSummary?db=core;p=%s	ENSEMBL		
ensembl_exon_id	Exon stable ID	ensembl_exon_id					ENSEMBL		
description	Gene description	description					ENSEMBL		
chromosome_name	Chromosome/scaffold name	chromosome_name				exturl|/contigview?chr=%s	ENSEMBL		
start_position	Gene start (bp)	start_position				exturl|/contigview?chr=%s&vc_start=%s&vc_end=%s|chromosome_name|start_position|end_position	ENSEMBL		
end_position	Gene end (bp)	end_position				exturl|/contigview?chr=%s&vc_start=%s&vc_end=%s|chromosome_name|start_position|end_position	ENSEMBL		
strand	Strand	strand					ENSEMBL		
band	Karyotype band	band				exturl|/contigview?chr=%s&band=%s|chromosome_name|band	ENSEMBL		
transcript_start	Transcript start (bp)	transcript_start				exturl|/contigview?chr=%s&vc_start=%s&vc_end=%s|chromosome_name|transcript_start|transcript_end	ENSEMBL		
transcript_end	Transcript end (bp)	transcript_end				exturl|/contigview?chr=%s&vc_start=%s&vc_end=%s|chromosome_name|transcript_start|transcript_end	ENSEMBL		
transcription_start_site	Transcription start site (TSS)	transcription_start_site					ENSEMBL		
transcript_length	Transcript length (including UTRs and CDS)	transcript_length					ENSEMBL		
transcript_tsl	Transcript support level (TSL)	transcript_tsl				http://www.ensembl.org/Help/Glossary?id=492	ENSEMBL		
transcript_gencode_basic	GENCODE basic annotation	transcript_gencode_basic				http://www.ensembl.org/Help/Glossary?id=500	ENSEMBL		
transcript_appris	APPRIS annotation	transcript_appris				http://www.ensembl.org/Help/Glossary?id=521	ENSEMBL		
transcript_mane_select	RefSeq match transcript	transcript_mane_select				https://www.ncbi.nlm.nih.gov/nuccore/%s	ENSEMBL		
external_gene_name	Gene name	external_gene_name		Gene_Name	0	exturl|/Gene/Summary?db=core;g=%s|ensembl_gene_id	ENSEMBL		
external_gene_source	Source of gene name	external_gene_source					ENSEMBL		
external_transcript_name	Transcript name	external_transcript_name				exturl|/Transcript/Summary?db=core;t=%s|ensembl_transcript_id	ENSEMBL		
external_transcript_source_name	Source of transcript name	external_transcript_source_name					ENSEMBL		
transcript_count	Transcript count	transcript_count					ENSEMBL		
percentage_gene_gc_content	Gene % GC content	percentage_gene_gc_content					ENSEMBL		
gene_biotype	Gene type	gene_biotype					ENSEMBL		
transcript_biotype	Transcript type	transcript_biotype					ENSEMBL		
source	Source (gene)	source					ENSEMBL		
transcript_source	Source (transcript)	transcript_source					ENSEMBL		
version	Version (gene)	version					ENSEMBL		
transcript_version	Version (transcript)	transcript_version					ENSEMBL		
peptide_version	Version (protein)	peptide_version					ENSEMBL		
phenotype_description	Phenotype description	phenotype_description					ENSEMBL		
Source_name	Source name	Source_name					ENSEMBL		
study_external_id	Study external reference	study_external_id					ENSEMBL		
strain_name	Strain name	strain_name					ENSEMBL		
strain_gender	Strain gender	strain_gender					ENSEMBL		
p_value	P value	p_value					ENSEMBL		
go_id	GO term accession	go_id				http://amigo.geneontology.org/amigo/term/%s	ENSEMBL		
name_1006	GO term name	name_1006					ENSEMBL		
definition_1006	GO term definition	definition_1006					ENSEMBL		
go_linkage_type	GO term evidence code	go_linkage_type					ENSEMBL		
namespace_1003	GO domain	namespace_1003					ENSEMBL		
goslim_goa_accession	GOSlim GOA Accession(s)	goslim_goa_accession				http://amigo.geneontology.org/amigo/term/%s	ENSEMBL		
goslim_goa_description	GOSlim GOA Description	goslim_goa_description					ENSEMBL		
ccds	CCDS ID	ccds		CCDS	0	http://www.ncbi.nlm.nih.gov/CCDS/CcdsBrowse.cgi?REQUEST=CCDS&DATA=%s	ENSEMBL		
chembl	ChEMBL ID	chembl		ChEMBL	0	https://www.ebi.ac.uk/chembldb/target/inspect/%s	ENSEMBL		
clone_based_ensembl_gene	Clone-based (Ensembl) gene ID	clone_based_ensembl_gene					ENSEMBL		
clone_based_ensembl_transcript	Clone-based (Ensembl) transcript ID	clone_based_ensembl_transcript					ENSEMBL		
dbass3_name	DataBase of Aberrant 3' Splice Sites name	dbass3_name				http://www.dbass.soton.ac.uk/DBASS3/viewlist.aspx?filter=gene&id=%s|dbass3_id	ENSEMBL		
dbass3_id	DataBase of Aberrant 3' Splice Sites ID	dbass3_id				http://www.dbass.soton.ac.uk/DBASS3/viewlist.aspx?filter=gene&id=%s|dbass3_id	ENSEMBL		
dbass5_name	DataBase of Aberrant 5' Splice Sites name	dbass5_name				http://www.dbass.soton.ac.uk/DBASS5/viewlist.aspx?filter=gene&id=%s|dbass5_id	ENSEMBL		
dbass5_id	DataBase of Aberrant 5' Splice Sites ID	dbass5_id				http://www.dbass.soton.ac.uk/DBASS5/viewlist.aspx?filter=gene&id=%s|dbass5_id	ENSEMBL		
ens_hs_transcript	Ensembl Human Transcript ID	ens_hs_transcript				http://www.ensembl.org/Homo_sapiens/Transcript/Summary?t=%s	ENSEMBL		
ens_hs_translation	Ensembl Human Translation ID	ens_hs_translation				http://www.ensembl.org/Homo_sapiens/Transcript/ProteinSummary?peptide=%s	ENSEMBL		
